date,carbon_footprint_kgCO2
2015-01-31,3839.4085475420216
2015-02-28,3808.765273759346
2015-03-31,3962.832542995677
2015-04-30,4051.9735722495107
2015-05-31,3605.8773293885215
2015-06-30,3433.7495666633927
2015-07-31,3581.138455401987
2015-08-31,3307.5146773234246
2015-09-30,3029.4501620737537
2015-10-31,3220.5259936105526
2015-11-30,3128.528324572777
2015-12-31,3247.8590350266645
2016-01-31,3487.3744791917748
2016-02-29,3199.466666081853
2016-03-31,3245.4948889971
2016-04-30,3379.9822926574434
2016-05-31,3177.347819481002
2016-06-30,3236.1976664072513
2016-07-31,2870.2078718492285
2016-08-31,2663.317038652013
2016-09-30,3079.603660243108
2016-10-31,2815.3360619334385
2016-11-30,2940.7822221309834
2016-12-31,2810.9104998951757
2017-01-31,3066.129331145523
2017-02-28,3246.6147747886776
2017-03-31,3055.860889950647
2017-04-30,3240.5028542038876
2017-05-31,2964.2930246807155
2017-06-30,2858.4334176541365
2017-07-31,2656.082918866522
2017-08-31,2923.220436480296
2017-09-30,2574.8973669196866
2017-10-31,2426.4345251841437
2017-11-30,2790.172235418369
2017-12-31,2582.1147655736527
2018-01-31,2906.5680162915883
2018-02-28,2646.745835222849
2018-03-31,2754.397675535595
2018-04-30,2928.1138705916533
2018-05-31,2894.762196187181
2018-06-30,2663.142772080664
2018-07-31,2475.2443860985736
2018-08-31,2337.034253423054
2018-09-30,2111.313870470587
2018-10-31,2235.587854573427
2018-11-30,2342.093021855799
2018-12-31,2661.4264386113746
2019-01-31,2656.661172053023
2019-02-28,2420.742768970671
2019-03-31,2728.475149403081
2019-04-30,2574.1627185801062
2019-05-31,2425.64654756518
2019-06-30,2468.465843859534
2019-07-31,2389.713219335599
2019-08-31,2270.7385467924128
2019-09-30,1976.1796779453405
2019-10-31,2060.77187638385
2019-11-30,2211.9984212315367
2019-12-31,2392.162121866747
2020-01-31,2287.6041110413453
2020-02-29,2388.208163949894
2020-03-31,2274.4299715696343
2020-04-30,2212.644346436582
2020-05-31,2376.691220327977
2020-06-30,2317.808220615555
2020-07-31,2002.9269624203403
2020-08-31,2044.2389339232402
2020-09-30,1913.8429991387775
2020-10-31,1795.2859375069518
2020-11-30,1982.9427219178858
2020-12-31,2217.92854047624
2021-01-31,2104.64347984662
2021-02-28,2360.8234839960337
2021-03-31,1848.257531909654
2021-04-30,2226.8317260464632
2021-05-31,2041.5280279877543
2021-06-30,1873.6260599899867
2021-07-31,1801.6553397832945
2021-08-31,1460.255544895451
2021-09-30,1628.951036285511
2021-10-31,1706.9897029012186
2021-11-30,1893.715574761128
2021-12-31,1738.6939851814727
2022-01-31,1784.2079769087034
2022-02-28,1872.224033237523
2022-03-31,2042.1298930477765
2022-04-30,1929.8002368577872
2022-05-31,1744.0639949613906
2022-06-30,1749.7540454126095
2022-07-31,1591.8773873257958
2022-08-31,1603.9685230905366
2022-09-30,1377.7365764584238
2022-10-31,1427.700502654892
2022-11-30,1471.1725952908312
2022-12-31,1429.1492798169068
2023-01-31,1691.6104540474084
2023-02-28,1735.0383599030038
2023-03-31,1713.3441929870562
2023-04-30,1646.5441290174078
2023-05-31,1441.9433903442077
2023-06-30,1442.41224046791
2023-07-31,1348.4228334021443
2023-08-31,1223.5804458390205
2023-09-30,1251.170992427063
2023-10-31,1315.525354997379
2023-11-30,1508.9074735018255
2023-12-31,1404.9102759113903
2024-01-31,1478.7682655888216
2024-02-29,1489.0544215282014
2024-03-31,1315.1609996731056
2024-04-30,1459.8102472381452
2024-05-31,1393.10982692656
2024-06-30,1525.1511459706005
2024-07-31,1180.4983365816029
2024-08-31,1154.963299569057
2024-09-30,1088.7751505873691
2024-10-31,991.3857408307784
2024-11-30,1243.2565412904953
2024-12-31,1267.6739729418098
